Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0580060,2,6,,10,,,1,,1,,,1,,,,,10,,,,,,,,,,,,,,
0580061,,,,,,2,4,,,,,,,,,,,,,,6,,,,,,,,,,
0580070,,,8,,,,,,,125,,50,,,,,,,,,,,,3,,,11,4,3,,
0580071,,,2,,1,,,,,0,67,6,,1,,,,,,,,,,,,,7,4,,,
0580072,,2,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,
0580073,,,,,,,,,,10,,,,9,,,,,,,,,,,,,,,,,
0580075,,,4,,8,,,,,,,,,20,,1,,8,,,,,,,,,,,,,
0580080,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
0580081,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,10,,,
0580082,,,4,,30,2,,,,,,6,,,,,,,,,,,,1,,,,,,,
0580100,,0,2,6,8,5,3,1,2,2,10,9,,2,,,,,,5,,,,,,,,,,,
0580105,,,,4,,,,,1,,,,,5,,,,,,,,,,,,,,,,,
0580120,2,4,,3,,4,,,,20,8,,,1,,,,,,,,,,,,,,,,,
0580125,4,1,,3,,,,16,,2,,1,,,,,2,2,,,,,,,,,,,,,
0580132,,,,,,0,,,,,,,,1,,,,,,,,,,,,26,,,,,
0580140,,,5,,,,,55,,,,9,,,,1,,30,2,,,,,11,,,,,,,
0580142,,,,8,,,10,,,,,,,,,,,,,,,,,,,,,,,,
0580150,,2,6,,15,,,,,,,,,18,,,,29,1,4,10,,,6,,,,,,,
0580160,1,71,38,271,148,,29,7,,40,,,49,,,30,10,,,44,12,,55,,,30,,25,3,,10
0580200,,,,,,,,,,,,,,1,,,,,,12,,,,3,,,,,,,
0580210,,,,,,,3,10,3,15,1,,,2,,4,,,,11,,,,,,,1,,,1,
0580230,1,3,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
0580300,4,,1,4,1,,,,6,,6,,15,20,,19,1,11,8,12,8,,1,3,3,2,1,7,9,,
0580330,2,,2,,,,,,,4,,1,,1,,,,,,,,,,,,,,,,,
0580331,,4,,4,,,2,4,,,,,,1,,,,,,,,,,,,,,,,,
0580332,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
0580334,,,,,,,,,,,,,118,90,129,74,84,1,228,180,90,66,162,70,394,180,306,10,2,4,4
0580338,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0580339,2,,,2,,,,,,2,,6,,,12,,,,,1,,,,,,,,,,,
0580340,6,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0580342,,,,,,,,,,,,1,,,,,,4,,,,,,,,8,,,,,
0580370,12,21,7,16,7,23,30,35,10,12,18,25,4,19,24,11,33,17,50,1,18,64,36,12,33,9,14,12,5,49,25
0580394,130,21,105,,211,,249,106,262,248,150,330,225,226,30,28,,,3,,,,,,,,,,,,
0580395,272,150,332,12,499,,667,875,150,8,650,302,764,564,224,6,25,,,,,8,,,,,,,,,
0580397,8,5,3,0,,6,8,2,8,,,,,,,,5,,,,,,,,,,6,,,,
0580398,,,3,0,,,,,,1,,0,,,,,10,,,,,,,,,1,6,4,,,
0580400,143,138,104,371,278,100,535,216,458,622,473,926,158,300,241,409,312,24,340,282,216,102,550,647,331,457,102,40,75,65,
0580415,2,14,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
0580444,,16,41,1,270,513,432,"1,528",427,272,366,618,333,596,414,427,889,443,505,727,251,50,620,95,,,,,,,
0580445,235,258,1,156,20,25,,,,,,1,,14,,,,,,,,,,,,,,,,,
0580447,359,12,,61,20,41,120,1,136,,100,217,144,100,100,92,,159,,224,50,17,140,55,65,135,,56,,25,
0580448,279,80,321,254,500,100,310,95,50,50,,6,100,129,,6,,14,,,,100,18,117,25,200,,50,,,0
0580460,27,30,35,105,172,93,1,268,81,25,52,13,124,,,55,19,145,82,5,54,33,98,2,,,,,,,
0580465,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0580466,,,,,,,4,1,,1,3,6,,,,6,3,1,,,5,,,1,,,,,,,
0580470,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580472,,,,,,,,,,,,,,,,,,2,,,,,,1,,5,,,,,
0580474,,42,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,
0580475,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0580478,,,,,,,10,,,,,,,,,1,,,,,,,,,4,,,,,10,
0580482,12,77,238,176,94,53,135,22,,29,10,90,120,87,78,75,20,100,199,150,11,1,50,50,,90,100,150,,,50
0580483,-36,371,209,701,366,174,240,91,309,356,23,50,190,400,100,131,38,571,150,91,40,135,150,200,75,,40,,,,
0580490,5,4,33,19,1,4,35,9,,18,6,1,12,13,,24,,19,6,2,1,1,,,,,1,,,,
0580495,74,52,49,7,2,102,26,27,67,46,28,,41,13,1,,,2,55,,,,,,,,,,,,
0580500,,1,,,3,,1,2,39,10,6,,,4,,,19,,12,,18,7,,,,,,,4,,
0580503,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,
0580510,10,53,5,59,,,,30,31,,,12,5,13,,8,1,,4,,,1,,2,,60,3,5,,,
0580515,,9,,76,18,,18,0,9,,,8,20,3,,24,,6,,4,,,,,,,55,,,,
0580520,,,,,,2,,8,,,,,,,,,,,,,3,,,,,4,,4,,,
0580525,3,3,8,8,5,14,12,,,4,1,,,,,,,,8,7,16,,,11,,9,11,,,,
0580550,2,13,12,2,6,2,17,18,12,,6,,,,1,4,6,2,7,,2,,,8,,,,,,,
0580570,2,1,12,,,,16,,,,,,,,,,,,,,,,,,3,,30,,,,
0580580,1,1,2,,1,,,8,10,7,15,,,10,,,,,,,,,,,,,,,,,
0580600,19,18,47,57,0,1,,,17,,,18,3,1,5,22,,6,,10,4,16,,19,1,,4,11,21,6,40
0580650,,,7,,,,,,,10,2,3,,8,,-2,,,,2,,,,,,3,1,2,,,
0580660,19,22,15,28,11,44,,22,13,45,10,19,15,16,,16,2,23,11,28,,16,15,20,21,25,11,7,7,18,6
0580671,1,31,12,8,30,,20,39,,3,31,14,30,5,10,37,19,14,16,14,15,30,1,36,22,28,,,,15,5
0580672,35,20,31,,31,,30,,30,11,60,,,,1,62,,20,35,1,61,,50,45,5,84,7,12,,25,
0580680,,,4,,1,3,,2,1,2,1,1,,3,1,,,,2,1,2,,,1,1,1,,,,1,3
0580700,,1,0,2,,,1,3,,33,15,149,,,,,,,,,2,,,,,,,,,,
0580701,50,31,121,23,1,25,,,,,,20,,26,,,,,,,,1,,50,,,,,5,,
0580718,1,,1,,,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,1
0580720,,4,,88,2,,4,75,,,3,15,285,1,,,,,34,24,,,50,1,302,20,111,783,20,,
0580730,,,,,,,24,20,,,,,,,,,,7,,,,,,,,,,20,,,
0580800,,,,,,,,7,15,,,3,,,,,,,,,1,,3,2,,,26,,,,
0580805,,,,,,,,,,,,,,,,,,,,96,,,,,,1,,,1,,
0580810,,,,,,,,,15,,,,,,,,,,70,,,,,,,,,,,,
0580815,,1,,2,,,,,,,,1,,,1,,,,55,,,,,,,,,,,,
0580900,30,2,1,8,,,,,8,12,27,1,,,1,,,,,,6,,,,,,,,2,3,
0580905,,,,9,4,2,16,,8,2,1,8,1,62,,4,,,,0,,,,13,,,,1,,1,
0580910,,,,6,,,,,,,10,1,1,,1,6,,,,36,,,,,,,,,,,
0580915,,,,,2,,,,4,6,,1,,10,,9,,,,,,,,6,,,5,2,4,,
0580920,,,,1,,1,,,0,18,25,,,,2,,,,,,,,,,,,,,,,
0580925,,,,,8,,,,2,4,,41,1,15,,,12,1,30,,,,12,,10,,5,1,5,,
0580930,,1,1,3,6,1,,6,,,,,,,18,,,,,8,8,1,,24,,10,63,16,,,
0580935,,,,3,,,,4,16,,,11,1,2,40,,,,1,,,,,,2,,4,2,,,
0580940,2,,14,16,,,,3,,,8,,,,1,,,,,,,,,,,,,,,,
0580945,0,,,2,24,,,,,,,4,,10,,,4,6,,,,,,4,,,5,7,5,4,39
0581010,,11,5,3,,,12,25,,,,8,,,4,,,11,,4,2,1,5,6,,,5,12,1,1,
0581020,,4,,,6,35,5,4,34,12,4,19,20,5,,13,1,28,6,,52,,12,48,,51,,,1,,46
0581060,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,
0581070,10,,2,35,,4,,,,,,,,10,,36,,,12,,40,,,,,10,,,,,
0581072,4,6,,4,3,1,30,4,6,,,,,,,,,,,8,,,,16,,,,1,,,
0581073,,,3,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
0581074,,6,8,5,,3,10,10,2,,,16,,,1,,,,,,,,,2,16,,,5,,,
0581076,,,,,,,,,5,,,,,,,,,,,,,,,1,,4,,,5,,
0581110,,,,,,,,,,,1,,1,,,,,,,2,,,,,,,,3,,,
0581200,0,,,,,,,,,,,,,,,,,3,,,,,,10,,,,,,,
0620001,,1,,,2,2,,,,,,,,,,,,1,4,,,,,,,,,,,,
0620003,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
1170304,2,2,,1,3,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,
1490018,,,,,,,,,,40,60,,25,,21,,,,,,2,10,,,,,,15,,,4
1490834,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1760620,5,5,10,3,3,10,8,8,6,6,6,8,6,14,14,7,9,7,12,16,21,5,17,24,18,14,20,12,16,16,17
1760637,,3,1,2,3,8,8,8,1,5,3,6,1,,3,4,3,2,,2,2,2,4,7,2,,1,1,4,2,2
1760640,,1,,0,1,,1,,,2,1,1,,2,2,,1,,1,2,2,,0,,3,2,,,,2,1
1760641,1,1,,3,2,,3,1,1,1,,,1,,2,,2,1,,3,,,2,,,3,,,1,,
1760642,1,2,3,,1,1,,1,1,,,,2,,1,1,1,,1,,,,,,2,2,,,,1,0
1760643,1,1,,1,1,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,
1773005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850250,5,49,60,33,,1,1,3,1,,24,2,8,,2,2,3,3,2,2,,4,1,1,,1,1,,,1,
1850300,45,31,32,65,25,36,26,35,46,48,25,19,17,34,26,49,18,57,21,21,52,,,,,,,,,,
